class_id,label,accuracy
0,apple,0.8551988502343496
1,aquarium_fish,0.827515592177709
2,baby,0.5268542667229971
3,bear,0.490741307536761
4,beaver,0.5763844748338064
5,bed,0.7555291056632996
6,bee,0.7578686773777008
7,beetle,0.702673077583313
8,bicycle,0.8604809840520223
9,bottle,0.812602569659551
10,bowl,0.5357994933923086
11,boy,0.4250675638516744
12,bridge,0.751921941836675
13,bus,0.5375251223643621
14,butterfly,0.7117917835712433
15,camel,0.703852504491806
16,can,0.7234299679597219
17,castle,0.8077130019664764
18,caterpillar,0.6528621216615041
19,cattle,0.6514350275198618
20,chair,0.8654486934343973
21,chimpanzee,0.8288703262805939
22,clock,0.6558235088984171
23,cloud,0.8607525626818339
24,cockroach,0.8463708857695261
25,couch,0.6074204444885254
26,crab,0.5968448420365652
27,crocodile,0.5868941247463226
28,cup,0.7691305577754974
29,dinosaur,0.6088420748710632
30,dolphin,0.6246090630690256
31,elephant,0.6495834092299143
32,flatfish,0.6348436971505483
33,forest,0.6598031918207804
34,fox,0.6832475364208221
35,girl,0.3789988160133362
36,hamster,0.7502885162830353
37,house,0.7056366006533304
38,kangaroo,0.5573759327332178
39,keyboard,0.895649234453837
40,lamp,0.6657509505748749
41,lawn_mower,0.8793838123480479
42,leopard,0.6979816555976868
43,lion,0.7248125970363617
44,lizard,0.46931523581345874
45,lobster,0.6095329225063324
46,man,0.4594784677028656
47,maple_tree,0.6112404565016428
48,motorcycle,0.9045881628990173
49,mountain,0.8658959070841471
50,mouse,0.4551687141259511
51,mushroom,0.7298692961533865
52,oak_tree,0.6642608145872752
53,orange,0.8918982545534769
54,orchid,0.8131844202677408
55,otter,0.36285504698753357
56,palm_tree,0.8929899533589681
57,pear,0.746184229850769
58,pickup_truck,0.7344285051027933
59,pine_tree,0.6274509231249491
60,plain,0.8322798212369283
61,plate,0.6778077085812887
62,poppy,0.718263308207194
63,porcupine,0.6795454422632853
64,possum,0.4377208898464839
65,rabbit,0.5323084592819214
66,raccoon,0.6661060949166616
67,ray,0.605677862962087
68,road,0.9429067571957906
69,rocket,0.815903494755427
70,rose,0.6527031461397806
71,sea,0.7744408051172892
72,seal,0.40675372382005054
73,shark,0.5344971865415573
74,shrew,0.5278181582689285
75,skunk,0.8357446392377218
76,skyscraper,0.9283802707990011
77,snail,0.6144601404666901
78,snake,0.656279077132543
79,spider,0.6476629575093588
80,squirrel,0.510358507434527
81,streetcar,0.7135693530241648
82,sunflower,0.9072483777999878
83,sweet_pepper,0.6238603492577871
84,table,0.630988597869873
85,tank,0.8355215191841125
86,telephone,0.7450814346472422
87,television,0.8193405568599701
88,tiger,0.7206831673781077
89,tractor,0.7797477940718333
90,train,0.8186022937297821
91,trout,0.7908066908518473
92,tulip,0.5958600441614786
93,turtle,0.45510010917981464
94,wardrobe,0.9146711627642313
95,whale,0.6936526000499725
96,willow_tree,0.5577174425125122
97,wolf,0.6932548582553864
98,woman,0.4366139620542526
99,worm,0.7773405214150747
